Rank,Name,Country,Sales,Profit,Assets,Market_Value,Link
1652,Banco Comercial Portugues,Portugal,$3.22 B,$119.5 M,$106.19 B,$2.7 B,https://www.forbes.com/companies/banco-comercial-portugues/?list=global2000
1652,New York Community Bancorp,United States,$1.75 B,$587.8 M,$59.64 B,$4.7 B,https://www.forbes.com/companies/new-york-community-bancorp/?list=global2000
1654,Castellum,Sweden,$738 M,$1.38 B,$19.62 B,$6.95 B,https://www.forbes.com/companies/castellum/?list=global2000
1655,Wacker Chemie,Germany,$7.34 B,$953.7 M,$9.3 B,$9.26 B,https://www.forbes.com/companies/wacker-chemie/?list=global2000
1656,Rajesh Exports,India,$30 B,$157.3 M,$2.7 B,$2.5 B,https://www.forbes.com/companies/rajesh-exports/?list=global2000
1657,Bawag Group,Austria,$2.04 B,$567.2 M,$64.05 B,$4.52 B,https://www.forbes.com/companies/bawag-group/?list=global2000
1657,Sinotrans Ltd.,China,$19.24 B,$575.2 M,$11.66 B,$2.27 B,https://www.forbes.com/companies/sinotrans/?list=global2000
1659,Will Semiconductor,China,$3.73 B,$694.1 M,$5.03 B,$20.03 B,https://www.forbes.com/companies/will-semiconductor/?list=global2000
1660,DexCom,United States,$2.45 B,$154.7 M,$4.86 B,$42.91 B,https://www.forbes.com/companies/dexcom/?list=global2000
1661,CPI Property Group,Luxembourg,$792 M,$1.53 B,$16.34 B,$8 B,https://www.forbes.com/companies/cpi-property-group/?list=global2000
1661,Harbin Bank,China,$4.43 B,$41.5 M,$101.25 B,$967 M,https://www.forbes.com/companies/harbin-bank/?list=global2000
1661,Kingboard Holdings,Hong Kong,$7.3 B,$1.39 B,$13.32 B,$5.11 B,https://www.forbes.com/companies/kingboard-holdings/?list=global2000
1664,Autodesk,United States,$4.4 B,$497 M,$8.61 B,$40.7 B,https://www.forbes.com/companies/autodesk/?list=global2000
1664,China Shipbuilding Industry,China,$5.34 B,$-48.2 M,$28.6 B,$13.46 B,https://www.forbes.com/companies/china-shipbuilding-industry/?list=global2000
1666,Ceconomy,Germany,$24.53 B,$225.8 M,$14.6 B,$1.24 B,https://www.forbes.com/companies/ceconomy/?list=global2000
1666,Hirogin Holdings,Japan,$1.22 B,$231.3 M,$100.28 B,$1.56 B,https://www.forbes.com/companies/hirogin-holdings/?list=global2000
1668,Twitter,United States,$5.08 B,$-221.4 M,$14.06 B,$39.17 B,https://www.forbes.com/companies/twitter/?list=global2000
1669,Jyske Bank,Denmark,$2.08 B,$476.8 M,$98.94 B,$3.84 B,https://www.forbes.com/companies/jyske-bank/?list=global2000
1670,Hengyi Petrochemical,China,$18.69 B,$476 M,$16.36 B,$4.45 B,https://www.forbes.com/companies/hengyi-petrochemical/?list=global2000
1671,Cerner,United States,$5.76 B,$555.6 M,$7.43 B,$27.55 B,https://www.forbes.com/companies/cerner/?list=global2000
1672,Gunma Bank,Japan,$1.3 B,$167.9 M,$96.17 B,$1.21 B,https://www.forbes.com/companies/gunma-bank/?list=global2000
1672,Sahara International Petrochemical,Saudi Arabia,$2.76 B,$1.14 B,$6.53 B,$11.14 B,https://www.forbes.com/companies/sahara-international-petrochemical/?list=global2000
1674,Bank of Zhengzhou,China,$4.43 B,$500.2 M,$90.22 B,$1.63 B,https://www.forbes.com/companies/bank-of-zhengzhou/?list=global2000
1675,China Merchants Port Holdings,Hong Kong,$1.52 B,$1.05 B,$22.92 B,$6.59 B,https://www.forbes.com/companies/china-merchants-port-holdings/?list=global2000
1676,WPG Holdings,Taiwan,$27.87 B,$411.6 M,$10.4 B,$3.22 B,https://www.forbes.com/companies/wpg-holdings/?list=global2000
1677,Sunny Optical Technology Group,China,$5.81 B,$773.1 M,$6.08 B,$15.15 B,https://www.forbes.com/companies/sunny-optical-technology-group/?list=global2000
1678,Zheshang Development Group,China,$27.79 B,$116.6 M,$5.54 B,$974 M,https://www.forbes.com/companies/zheshang-development-group/?list=global2000
1679,Bank Pekao,Poland,$2.42 B,$563.1 M,$62.17 B,$6.62 B,https://www.forbes.com/companies/bank-pekao/?list=global2000
1679,Singapore Airlines,Singapore,$3.73 B,$-1.22 B,$32.68 B,$11.96 B,https://www.forbes.com/companies/singapore-airlines/?list=global2000
1679,United Natural Foods,United States,$27.77 B,$233.6 M,$7.8 B,$2.62 B,https://www.forbes.com/companies/united-natural-foods/?list=global2000
1682,Uniqa,Austria,$8.19 B,$372 M,$35.43 B,$2.46 B,https://www.forbes.com/companies/uniqa/?list=global2000
1683,Next,United Kingdom,$6.36 B,$931.3 M,$5.34 B,$10.6 B,https://www.forbes.com/companies/next/?list=global2000
1684,China Resources Beer (Holdings),Hong Kong,$5.17 B,$708.5 M,$8.01 B,$18.75 B,https://www.forbes.com/companies/china-resources-beer-holdings/?list=global2000
1685,STRABAG,Austria,$17.84 B,$577.4 M,$13.85 B,$3.8 B,https://www.forbes.com/companies/strabag/?list=global2000
1686,Asian Paints,India,$3.77 B,$410.1 M,$2.84 B,$39.69 B,https://www.forbes.com/companies/asian-paints/?list=global2000
1686,Chang Hwa Bank,Taiwan,$1.3 B,$315.2 M,$92.21 B,$6.7 B,https://www.forbes.com/companies/chang-hwa-bank/?list=global2000
1686,Huntsman,United States,$8.45 B,$1.04 B,$9.39 B,$7.33 B,https://www.forbes.com/companies/huntsman/?list=global2000
1689,Doosan,South Korea,$12.6 B,$-113.7 M,$21.88 B,$1.31 B,https://www.forbes.com/companies/doosan/?list=global2000
1689,SBA Communications,United States,$2.31 B,$237.6 M,$9.8 B,$39.57 B,https://www.forbes.com/companies/sba-communications/?list=global2000
1691,Datadog,United States,$1.03 B,$-20.7 M,$2.38 B,$39.38 B,https://www.forbes.com/companies/datadog/?list=global2000
1691,LG Uplus,South Korea,$12.1 B,$622 M,$16.3 B,$5.1 B,https://www.forbes.com/companies/lg-uplus/?list=global2000
1691,Organon,United States,$6.47 B,$1.35 B,$10.68 B,$8.18 B,https://www.forbes.com/companies/organon/?list=global2000
1691,PBF Energy,United States,$27.25 B,$231 M,$12.69 B,$3.21 B,https://www.forbes.com/companies/pbf-energy/?list=global2000
1695,Iveco Group,Italy,$14.95 B,$61.5 M,$18.83 B,$1.72 B,https://www.forbes.com/companies/iveco-group/?list=global2000
1696,Arca Continental,Mexico,$9.04 B,$605.3 M,$12.61 B,$11.28 B,https://www.forbes.com/companies/arca-continental/?list=global2000
1696,Shanghai Commercial & Savings Bank,Taiwan,$1.72 B,$510.4 M,$77.33 B,$7.59 B,https://www.forbes.com/companies/shanghai-commercial-savings-bank/?list=global2000
1698,Piraeus Financial Holdings,Greece,$3.33 B,$-3.56 B,$90.74 B,$1.99 B,https://www.forbes.com/companies/piraeus-financial-holdings/?list=global2000
1699,Daishi Hokuetsu Financial Group,Japan,$1.2 B,$123.5 M,$90.37 B,$893 M,https://www.forbes.com/companies/daishi-hokuetsu-financial-group/?list=global2000
1699,ResMed,United States,$3.44 B,$522 M,$4.74 B,$33.26 B,https://www.forbes.com/companies/resmed/?list=global2000
1701,BJ's Wholesale Club,United States,$16.67 B,$426.7 M,$5.67 B,$9.09 B,https://www.forbes.com/companies/bjs-wholesale-club/?list=global2000
1701,PVH,United States,$9.15 B,$952.3 M,$12.4 B,$5.12 B,https://www.forbes.com/companies/pvh/?list=global2000
1703,77 Bank,Japan,$967 M,$177.2 M,$90.27 B,$921 M,https://www.forbes.com/companies/77-bank/?list=global2000
1704,Petro Rabigh,Saudi Arabia,$12.17 B,$543.1 M,$19.39 B,$6.87 B,https://www.forbes.com/companies/petro-rabigh/?list=global2000
1705,Adani Transmission,India,$1.49 B,$164.1 M,$6.11 B,$38.15 B,https://www.forbes.com/companies/adani-transmission/?list=global2000
1706,Zalando,Germany,$12.24 B,$277.2 M,$8.13 B,$11.31 B,https://www.forbes.com/companies/zalando/?list=global2000
1707,Eurobank Ergasias,Greece,$2.88 B,$387.7 M,$88.53 B,$4.28 B,https://www.forbes.com/companies/eurobank-ergasias/?list=global2000
1707,Pool,United States,$5.65 B,$726.9 M,$3.88 B,$16.68 B,https://www.forbes.com/companies/pool/?list=global2000
1709,Chugoku Bank,Japan,$1.05 B,$172.2 M,$88.26 B,$1.38 B,https://www.forbes.com/companies/chugoku-bank/?list=global2000
1709,M3,Japan,$1.82 B,$612.4 M,$2.82 B,$22.54 B,https://www.forbes.com/companies/m3/?list=global2000
1711,Sumec Corporation,China,$26.14 B,$-60.1 M,$8.57 B,$1.21 B,https://www.forbes.com/companies/sumec/?list=global2000
1712,Aramark,United States,$13.3 B,$33 M,$14.47 B,$9.82 B,https://www.forbes.com/companies/aramark/?list=global2000
1712,China Industrial Securities,China,$3.25 B,$735.4 M,$34.12 B,$7 B,https://www.forbes.com/companies/china-industrial-securities/?list=global2000
1712,Focus Media Information Technology,China,$2.35 B,$956.3 M,$4.15 B,$12.45 B,https://www.forbes.com/companies/focus-media-information-technology/?list=global2000
1715,Ramsay Health Care,Australia,$9.75 B,$286.6 M,$12.47 B,$13.94 B,https://www.forbes.com/companies/ramsay-health-care/?list=global2000
1716,Cullen/Frost Bankers,United States,$1.39 B,$440.4 M,$50.88 B,$8.86 B,https://www.forbes.com/companies/cullen-frost-bankers/?list=global2000
1717,Live Nation Entertainment,United States,$6.27 B,$-670.7 M,$14.4 B,$23.79 B,https://www.forbes.com/companies/live-nation-entertainment/?list=global2000
1718,Emera,Canada,$4.71 B,$446.7 M,$27.11 B,$13.13 B,https://www.forbes.com/companies/emera/?list=global2000
1719,Hoshine Silicon Industry,China,$2.52 B,$874 M,$4.1 B,$13.76 B,https://www.forbes.com/companies/hoshine-silicon-industry/?list=global2000
1720,Qinghai Salt Lake Industry,China,$2.14 B,$596.9 M,$4.05 B,$23.19 B,https://www.forbes.com/companies/qinghai-salt-lake-industry/?list=global2000
1721,Starwood Property Trust,United States,$1.19 B,$440.9 M,$83.85 B,$7.31 B,https://www.forbes.com/companies/starwood-property-trust/?list=global2000
1722,Nexi S.p.A.,Italy,$3.58 B,$59.4 M,$27.71 B,$12.8 B,https://www.forbes.com/companies/nexi-spa/?list=global2000
1723,AECOM Technology,United States,$13.29 B,$208.6 M,$11.44 B,$10.26 B,https://www.forbes.com/companies/aecom-technology/?list=global2000
1723,Alpha Bank,Greece,$398 M,$-3.44 B,$83.42 B,$2.98 B,https://www.forbes.com/companies/alpha-bank/?list=global2000
1723,BayWa,Germany,$23.45 B,$83.4 M,$14.07 B,$1.76 B,https://www.forbes.com/companies/baywa/?list=global2000
1726,SQM,Chile,$2.91 B,$606.4 M,$7.26 B,$22.11 B,https://www.forbes.com/companies/sqm/?list=global2000
1727,FMC,United States,$5.04 B,$734.7 M,$10.58 B,$16.7 B,https://www.forbes.com/companies/fmc/?list=global2000
1728,Shaw Communications,Canada,$4.39 B,$796.4 M,$12.37 B,$15.12 B,https://www.forbes.com/companies/shaw-communications/?list=global2000
1729,Bausch Health Companies,Canada,$8.43 B,$-948 M,$29.2 B,$7.79 B,https://www.forbes.com/companies/bausch-health-companies/?list=global2000
1729,Tech Mahindra,India,$5.72 B,$695.4 M,$5.51 B,$16.61 B,https://www.forbes.com/companies/tech-mahindra/?list=global2000
1731,Var Energi ASA,Norway,$6.04 B,$621.6 M,$19.88 B,$11.13 B,https://www.forbes.com/companies/var-energi-asa/?list=global2000
1732,Bank of Qingdao,China,$3.4 B,$452.7 M,$81.94 B,$2.52 B,https://www.forbes.com/companies/bank-of-qingdao/?list=global2000
1732,Mitsubishi Motors,Japan,$17.46 B,$-214.9 M,$16.17 B,$3.69 B,https://www.forbes.com/companies/mitsubishi-motors/?list=global2000
1734,Moscow Exchange,Russia,$761 M,$381.2 M,$81.91 B,$2.65 B,https://www.forbes.com/companies/moscow-exchange/?list=global2000
1735,Rite Aid,United States,$24.57 B,$-538.5 M,$8.53 B,$414 M,https://www.forbes.com/companies/rite-aid/?list=global2000
1736,Waters,United States,$2.79 B,$692.8 M,$3.1 B,$17.94 B,https://www.forbes.com/companies/waters/?list=global2000
1737,Li Ning,China,$3.5 B,$621.9 M,$4.75 B,$20.67 B,https://www.forbes.com/companies/li-ning/?list=global2000
1738,Abu Dhabi Islamic Bank,United Arab Emirates,$1.69 B,$564.7 M,$37.26 B,$8.76 B,https://www.forbes.com/companies/abu-dhabi-islamic-bank/?list=global2000
1739,Jiangxi Bank,China,$3.47 B,$320.6 M,$79.8 B,$1.23 B,https://www.forbes.com/companies/jiangxi-bank/?list=global2000
1739,Mercuries & Associates,Taiwan,$6.3 B,$67.7 M,$51.56 B,$628 M,https://www.forbes.com/companies/mercuries-associates/?list=global2000
1741,BeiGene,China,$1.18 B,$-1.41 B,$8.65 B,$35.18 B,https://www.forbes.com/companies/beigene/?list=global2000
1742,Pan Pacific International Holdings,Japan,$16.14 B,$467.4 M,$12.34 B,$8.89 B,https://www.forbes.com/companies/pan-pacific-international-holdings/?list=global2000
1743,EXOR,Netherlands,$1.76 B,$664 M,$14.4 B,$17.14 B,https://www.forbes.com/companies/exor/?list=global2000
1744,Daito Trust Construction,Japan,$14.15 B,$631.3 M,$8.13 B,$6.6 B,https://www.forbes.com/companies/daito-trust-construction/?list=global2000
1744,Synnex Technology Intl,Taiwan,$14.64 B,$618.3 M,$7.29 B,$4.47 B,https://www.forbes.com/companies/synnex-tech-intl/?list=global2000
1746,Adani Total Gas,India,$353 M,$77.4 M,$502 M,$34.74 B,https://www.forbes.com/companies/adani-total-gas/?list=global2000
1746,WuXi Biologics,China,$1.6 B,$525.2 M,$6.91 B,$30.22 B,https://www.forbes.com/companies/wuxi-biologics/?list=global2000
1748,Johnson Matthey,United Kingdom,$23.64 B,$209.3 M,$10.13 B,$4.49 B,https://www.forbes.com/companies/johnson-matthey/?list=global2000
1749,Bayan Resources,Indonesia,$2.85 B,$1.21 B,$2.43 B,$9.82 B,https://www.forbes.com/companies/bayan-resources/?list=global2000
1750,Burlington Stores,United States,$9.32 B,$408.8 M,$7.09 B,$13.82 B,https://www.forbes.com/companies/burlington-stores/?list=global2000
1750,Credito Emiliano,Italy,$2.57 B,$417.4 M,$76.85 B,$2.24 B,https://www.forbes.com/companies/credito-emiliano/?list=global2000
1752,Alfresa Holdings,Japan,$23.51 B,$220 M,$12.09 B,$2.77 B,https://www.forbes.com/companies/alfresa-holdings/?list=global2000
1752,Bandai Namco Holdings,Japan,$7.52 B,$545.7 M,$6.85 B,$15.24 B,https://www.forbes.com/companies/bandai-namco-holdings/?list=global2000
1752,FAW Jiefang Group,China,$15.26 B,$604.7 M,$10.95 B,$5.91 B,https://www.forbes.com/companies/faw-jiefang-group/?list=global2000
1755,Constellation Software,Canada,$5.11 B,$309.3 M,$5.77 B,$34.22 B,https://www.forbes.com/companies/constellation-software/?list=global2000
1756,Bajaj Auto,India,$4.54 B,$837.3 M,$4.51 B,$13.79 B,https://www.forbes.com/companies/bajaj-auto/?list=global2000
1756,Chewy,United States,$8.89 B,$-73.8 M,$2.25 B,$14.56 B,https://www.forbes.com/companies/chewy/?list=global2000
1758,Shandong Hualu-Hengsheng Chemical,China,$4.11 B,$1.12 B,$4.5 B,$10.18 B,https://www.forbes.com/companies/shandong-hualu-hengsheng-chemical/?list=global2000
1759,Avenue Supermarts,India,$4 B,$200.1 M,$1.93 B,$34.12 B,https://www.forbes.com/companies/avenue-supermarts/?list=global2000
1760,Lindt & Sprungli,Switzerland,$5.01 B,$536.5 M,$9.96 B,$27.88 B,https://www.forbes.com/companies/lindt-sprungli/?list=global2000
1761,SKF Group,Sweden,$9.52 B,$854.1 M,$11.21 B,$7.59 B,https://www.forbes.com/companies/skf-group/?list=global2000
1762,Iyo Bank,Japan,$1.17 B,$207.1 M,$75.19 B,$1.57 B,https://www.forbes.com/companies/iyo-bank/?list=global2000
1763,Juroku  Financial Group,Japan,$1.04 B,$138.8 M,$74.5 B,$626 M,https://www.forbes.com/companies/juroku-financial-group/?list=global2000
1764,Akamai Technologies,United States,$3.46 B,$651.6 M,$8.14 B,$18.85 B,https://www.forbes.com/companies/akamai-technologies/?list=global2000
1764,EMS-Chemie Holding,Switzerland,$2.46 B,$601.9 M,$2.55 B,$21.09 B,https://www.forbes.com/companies/ems-chemie-holding/?list=global2000
1766,Medical Properties Trust,United States,$1.54 B,$653.9 M,$20.52 B,$11.25 B,https://www.forbes.com/companies/medical-properties-trust/?list=global2000
1767,Taiwan Business Bank,Taiwan,$1.12 B,$182.6 M,$73.06 B,$3.48 B,https://www.forbes.com/companies/taiwan-business-bank/?list=global2000
1768,Zhejiang Chint Electrics,China,$5.91 B,$946.1 M,$13.34 B,$10.5 B,https://www.forbes.com/companies/zhejiang-chint-electrics/?list=global2000
1769,Newell Brands,United States,$10.59 B,$572 M,$14.18 B,$9.45 B,https://www.forbes.com/companies/newell-brands/?list=global2000
1770,First Pacific,Hong Kong,$9.1 B,$334.7 M,$26.57 B,$1.78 B,https://www.forbes.com/companies/first-pacific/?list=global2000
1771,Bank of Jiujiang,Hong Kong,$3.29 B,$267.7 M,$72.41 B,$3.25 B,https://www.forbes.com/companies/bank-of-jiujiang/?list=global2000
1772,DGB Financial Group,South Korea,$3.19 B,$426.3 M,$72.32 B,$1.26 B,https://www.forbes.com/companies/dgb-financial-group/?list=global2000
1772,Power Assets Holdings,Hong Kong,$164 M,$789.9 M,$12.1 B,$14.38 B,https://www.forbes.com/companies/power-assets-holdings/?list=global2000
1774,Xinyi Glass Holdings,Hong Kong,$3.92 B,$1.49 B,$7.25 B,$8.55 B,https://www.forbes.com/companies/xinyi-glass-holdings/?list=global2000
1775,Toll Brothers,United States,$9.02 B,$889 M,$11.28 B,$5.35 B,https://www.forbes.com/companies/toll-brothers/?list=global2000
1776,PIK Group,Russia,$5.77 B,$1.84 B,$11.08 B,$4.7 B,https://www.forbes.com/companies/pik-group/?list=global2000
1777,Foot Locker,United States,$8.96 B,$893 M,$8.13 B,$2.79 B,https://www.forbes.com/companies/foot-locker/?list=global2000
1778,Bank of Suzhou,China,$3.13 B,$481.7 M,$71.08 B,$3.85 B,https://www.forbes.com/companies/bank-of-suzhou/?list=global2000
1779,Hyundai Engineering,South Korea,$15.47 B,$390.4 M,$16.52 B,$4 B,https://www.forbes.com/companies/hyundai-engineering/?list=global2000
1780,American Equity Investment,United States,$4.05 B,$474 M,$70.99 B,$3.77 B,https://www.forbes.com/companies/american-equity-investment/?list=global2000
1781,Advantest,Japan,$3.56 B,$857 M,$4.01 B,$12.75 B,https://www.forbes.com/companies/advantest/?list=global2000
1782,Avnet,United States,$21.59 B,$455 M,$9.58 B,$3.87 B,https://www.forbes.com/companies/avnet/?list=global2000
1783,Hyakugo Bank,Japan,$863 M,$131.7 M,$70.08 B,$677 M,https://www.forbes.com/companies/hyakugo-bank/?list=global2000
1784,Lucid Motors,United States,$27 M,$-3.03 B,$7.88 B,$31.59 B,https://www.forbes.com/companies/lucid-motors/?list=global2000
1785,CSPC Pharmaceutical Group,Hong Kong,$4.32 B,$868.7 M,$5.45 B,$12.5 B,https://www.forbes.com/companies/cspc-pharmaceutical-group/?list=global2000
1786,ATOS,France,$12.81 B,$-3.5 B,$19.13 B,$2.71 B,https://www.forbes.com/companies/atos/?list=global2000
1786,Manpower,United States,$20.94 B,$412 M,$9.72 B,$4.94 B,https://www.forbes.com/companies/manpower/?list=global2000
1788,Hotai Motor,Taiwan,$8.73 B,$580.4 M,$12.64 B,$11 B,https://www.forbes.com/companies/hotai-motor/?list=global2000
1788,Smoore International Holdings,China,$2.13 B,$819.4 M,$3.59 B,$13.28 B,https://www.forbes.com/companies/smoore-international-holdings/?list=global2000
1790,Clorox,United States,$7.08 B,$247 M,$6.19 B,$18.54 B,https://www.forbes.com/companies/clorox/?list=global2000
1790,DCC,Ireland,$20.52 B,$408.4 M,$10.94 B,$7.58 B,https://www.forbes.com/companies/dcc/?list=global2000
1790,Gjensidige Forsikring,Norway,$3.69 B,$830.5 M,$14.6 B,$12.08 B,https://www.forbes.com/companies/gjensidige-forsikring/?list=global2000
1793,Ford Otosan,Turkey,$7.96 B,$986 M,$3.23 B,$7.17 B,https://www.forbes.com/companies/ford-otosan/?list=global2000
1794,Bank of Queensland,Australia,$1.58 B,$316 M,$68.86 B,$3.7 B,https://www.forbes.com/companies/bank-of-queensland/?list=global2000
1795,Fortune Brands Home & Security,United States,$7.66 B,$772.4 M,$7.94 B,$9.33 B,https://www.forbes.com/companies/fortune-brands-home-security/?list=global2000
1795,Lear,United States,$19.26 B,$373.9 M,$13.35 B,$7.75 B,https://www.forbes.com/companies/lear/?list=global2000
1795,Service Corp Intl,United States,$4.14 B,$802.9 M,$15.69 B,$11.32 B,https://www.forbes.com/companies/service-corp-intl/?list=global2000
1798,Korea Zinc,South Korea,$8.71 B,$704.5 M,$8.38 B,$8.86 B,https://www.forbes.com/companies/korea-zinc/?list=global2000
1798,Qingdao Rural Commercial Bank,China,$2.94 B,$494.6 M,$66.41 B,$3.01 B,https://www.forbes.com/companies/qingdao-rural-commercial-bank/?list=global2000
1800,Tosoh,Japan,$8.06 B,$966.6 M,$9.29 B,$4.4 B,https://www.forbes.com/companies/tosoh/?list=global2000
1801,DoorDash,United States,$4.89 B,$-468 M,$6.81 B,$31.01 B,https://www.forbes.com/companies/doordash/?list=global2000
1802,Cloudflare,United States,$656 M,$-260.3 M,$2.37 B,$30.99 B,https://www.forbes.com/companies/cloudflare/?list=global2000
1803,Jointown Pharmaceutical Group,China,$18.8 B,$513 M,$13.43 B,$3.67 B,https://www.forbes.com/companies/jointown-pharmaceutical-group/?list=global2000
1803,Showa Denko,Japan,$12.92 B,$-110.1 M,$18.6 B,$3.43 B,https://www.forbes.com/companies/showa-denko/?list=global2000
1805,Kawasaki Heavy Industries,Japan,$13.6 B,$17.6 M,$17.77 B,$3.08 B,https://www.forbes.com/companies/kawasaki-heavy-industries/?list=global2000
1806,Deutsche Pfandbriefbank,Germany,$1.88 B,$250.6 M,$66.42 B,$1.75 B,https://www.forbes.com/companies/deutsche-pfandbriefbank/?list=global2000
1807,NIO,China,$5.61 B,$-1.64 B,$13.01 B,$29.66 B,https://www.forbes.com/companies/nio/?list=global2000
1807,Ultrapar Participacoes,Brazil,$20.34 B,$157.6 M,$6.99 B,$3.26 B,https://www.forbes.com/companies/ultrapar-participacoes/?list=global2000
1809,American National Group,United States,$4.35 B,$699.3 M,$30.99 B,$5.09 B,https://www.forbes.com/companies/american-national-group/?list=global2000
1810,Ogaki Kyoritsu Bank,Japan,$701 M,$87 M,$66.19 B,$622 M,https://www.forbes.com/companies/ogaki-kyoritsu-bank/?list=global2000
1811,Bendigo & Adelaide Bank,Australia,$1.52 B,$451.4 M,$66 B,$4.35 B,https://www.forbes.com/companies/bendigo-adelaide-bank/?list=global2000
1812,Tongling Nonferrous Metals,China,$20.25 B,$480.9 M,$7.98 B,$6.07 B,https://www.forbes.com/companies/tongling-nonferrous-metals/?list=global2000
1813,Electric Power Development,Japan,$9.21 B,$60.3 M,$25.16 B,$2.54 B,https://www.forbes.com/companies/electric-power-development/?list=global2000
1814,Salzgitter,Germany,$11.54 B,$687 M,$11.66 B,$2.46 B,https://www.forbes.com/companies/salzgitter/?list=global2000
1814,Suzuken,Japan,$20.07 B,$136.8 M,$11.18 B,$2.61 B,https://www.forbes.com/companies/suzuken/?list=global2000
1816,Shiga Bank,Japan,$875 M,$174.7 M,$65.14 B,$916 M,https://www.forbes.com/companies/shiga-bank/?list=global2000
1817,Sartorius,Germany,$4.28 B,$514.3 M,$6.6 B,$27.54 B,https://www.forbes.com/companies/sartorius/?list=global2000
1818,Tsim Sha Tsui Properties,Hong Kong,$4.01 B,$891.5 M,$23.14 B,$5.73 B,https://www.forbes.com/companies/tsim-sha-tsui-properties/?list=global2000
1819,Qilu Bank,China,$2.14 B,$364.9 M,$64.47 B,$4.18 B,https://www.forbes.com/companies/qilu-bank/?list=global2000
1820,Horizon Therapeutics Public Limited Company,Ireland,$3.23 B,$534.5 M,$8.68 B,$24.25 B,https://www.forbes.com/companies/horizon-therapeutics-public-limited-company/?list=global2000
1821,Prysmian,Italy,$15.05 B,$364 M,$13.66 B,$8.62 B,https://www.forbes.com/companies/prysmian/?list=global2000
1822,Crescent Point Energy,Canada,$2.26 B,$1.89 B,$7.26 B,$4.03 B,https://www.forbes.com/companies/crescent-point-energy/?list=global2000
1823,Info Edge India,India,$190 M,$1.68 B,$2.99 B,$7.84 B,https://www.forbes.com/companies/info-edge-india/?list=global2000
1824,FinecoBank,Italy,$1.46 B,$450 M,$38.52 B,$9.11 B,https://www.forbes.com/companies/finecobank/?list=global2000
1825,Hubei Biocause Pharmaceutical,China,$6.52 B,$54.9 M,$39.13 B,$2.41 B,https://www.forbes.com/companies/hubei-biocause-pharmaceutical/?list=global2000
1825,ICON (Ireland),Ireland,$5.48 B,$153.2 M,$17.39 B,$19.08 B,https://www.forbes.com/companies/icon/?list=global2000
1827,Yunnan Copper Co. Ltd.,China,$19.63 B,$100.7 M,$6.14 B,$2.94 B,https://www.forbes.com/companies/yunnan-copper-co-ltd/?list=global2000
1828,Booz Allen Hamilton Holding,United States,$8.11 B,$571.3 M,$5.94 B,$11.73 B,https://www.forbes.com/companies/booz-allen-hamilton-holding/?list=global2000
1829,Red Eléctrica,Spain,$2.31 B,$804.5 M,$15.9 B,$10.78 B,https://www.forbes.com/companies/red-electrica/?list=global2000
1830,Senshu Ikeda Holdings,Japan,$630 M,$82 M,$63.1 B,$391 M,https://www.forbes.com/companies/senshu-ikeda-holdings/?list=global2000
1831,Banca Popolare di Sondrio,Italy,$1.42 B,$317.5 M,$62.56 B,$1.87 B,https://www.forbes.com/companies/banca-popolare-di-sondrio/?list=global2000
1831,Zhejiang Expressway Co. Ltd.,China,$2.52 B,$737.5 M,$27.66 B,$3.71 B,https://www.forbes.com/companies/zhejiang-expressway-co-ltd/?list=global2000
1833,WSP,Canada,$8.2 B,$377.8 M,$8.91 B,$14.47 B,https://www.forbes.com/companies/wsp/?list=global2000
1834,LPL Financial Holdings,United States,$7.72 B,$459.9 M,$8.25 B,$15.66 B,https://www.forbes.com/companies/lpl-financial-holdings/?list=global2000
1834,Mid-america Apartment Communities,United States,$1.78 B,$533.2 M,$11.29 B,$23.88 B,https://www.forbes.com/companies/mid-america-apartment-communities/?list=global2000
1834,Titan (India),India,$3.85 B,$301.2 M,$2.46 B,$29.16 B,https://www.forbes.com/companies/titan/?list=global2000
1837,Beijing Oriental Yuhong Waterproof Technology,China,$4.92 B,$652 M,$7.8 B,$16.72 B,https://www.forbes.com/companies/beijing-oriental-yuhong-waterproof-technology/?list=global2000
1837,Sistema,Russia,$10.89 B,$-9.8 M,$21.02 B,$1.51 B,https://www.forbes.com/companies/sistema/?list=global2000
1839,Wayfair,United States,$13.71 B,$-131.4 M,$4.57 B,$8.94 B,https://www.forbes.com/companies/wayfair/?list=global2000
1839,Zscaler,United States,$860 M,$-330.7 M,$2.42 B,$29.13 B,https://www.forbes.com/companies/zscaler/?list=global2000
1841,Dangote Cement,Nigeria,$3.38 B,$880.7 M,$5.78 B,$11.68 B,https://www.forbes.com/companies/dangote-cement/?list=global2000
1841,Ricoh,Japan,$16.07 B,$117.7 M,$15.29 B,$4.66 B,https://www.forbes.com/companies/ricoh/?list=global2000
1843,Trade Desk,United States,$1.2 B,$137.8 M,$3.58 B,$28.89 B,https://www.forbes.com/companies/trade-desk/?list=global2000
1844,Chr. Hansen Holding,Denmark,$1.34 B,$1 B,$3.53 B,$10.18 B,https://www.forbes.com/companies/chr-hansen-holding/?list=global2000
1845,JD Sports Fashion,United Kingdom,$10.18 B,$563.3 M,$8.97 B,$9.59 B,https://www.forbes.com/companies/jd-sports-fashion/?list=global2000
1846,Aeroports de Paris,France,$3.28 B,$-293.1 M,$20.88 B,$15.07 B,https://www.forbes.com/companies/aeroports-de-paris/?list=global2000
